Country,Year,#Gold,#Total Medals,Host,#Participants,#Events,Medal Efficiency,Gold Medal Focus
United States,2016,46,121,0,699,240,0.17310443490701002,0.38016528925619836
United States,2020,39,113,0,856,245,0.13200934579439252,0.34513274336283184
United States,2024,40,126,0,854,234,0.14754098360655737,0.31746031746031744
Great Britain,2016,27,67,0,470,196,0.1425531914893617,0.40298507462686567
Great Britain,2020,22,64,0,548,197,0.11678832116788321,0.34375
Great Britain,2024,14,65,0,533,174,0.12195121951219512,0.2153846153846154
China,2016,26,70,0,483,205,0.14492753623188406,0.37142857142857144
China,2020,38,89,0,574,210,0.15505226480836237,0.42696629213483145
China,2024,40,91,0,587,211,0.15502555366269166,0.43956043956043955
Russia,2016,19,56,0,398,179,0.1407035175879397,0.3392857142857143
Russia,2020,0,0,0,561,202,0.0,0.0
Russia,2024,0,0,0,0,0,0.0,0.0
Germany,2016,17,42,0,528,215,0.07954545454545454,0.40476190476190477
Germany,2020,10,37,0,597,206,0.06197654941373534,0.2702702702702703
Germany,2024,12,33,0,647,196,0.05100463678516229,0.36363636363636365
Japan,2016,12,41,0,436,186,0.09403669724770643,0.2926829268292683
Japan,2020,27,58,1,787,222,0.07369758576874205,0.46551724137931033
Japan,2024,20,45,0,598,166,0.07525083612040134,0.4444444444444444
France,2016,10,42,0,504,200,0.08333333333333333,0.23809523809523808
France,2020,10,33,0,538,194,0.06133828996282528,0.30303030303030304
France,2024,16,64,1,801,223,0.07990012484394507,0.25
South Korea,2016,9,21,0,255,115,0.08235294117647059,0.42857142857142855
South Korea,2020,6,20,0,338,120,0.05917159763313609,0.3
South Korea,2024,13,32,0,0,0,0.0,0.40625
Italy,2016,8,28,0,395,170,0.07088607594936709,0.2857142857142857
Italy,2020,10,40,0,524,198,0.07633587786259542,0.25
Italy,2024,12,40,0,610,205,0.06557377049180328,0.3
Australia,2016,8,29,0,510,192,0.056862745098039215,0.27586206896551724
Australia,2020,17,46,0,638,193,0.07210031347962383,0.3695652173913043
Australia,2024,18,53,0,649,205,0.08166409861325115,0.33962264150943394
Netherlands,2016,8,19,0,321,120,0.059190031152647975,0.42105263157894735
Netherlands,2020,10,36,0,391,123,0.09207161125319693,0.2777777777777778
Netherlands,2024,15,34,0,449,132,0.0757238307349666,0.4411764705882353
Hungary,2016,8,15,0,204,113,0.07352941176470588,0.5333333333333333
Hungary,2020,6,20,0,237,110,0.08438818565400844,0.3
Hungary,2024,6,19,0,255,114,0.07450980392156863,0.3157894736842105
Brazil,2016,7,19,1,571,219,0.03327495621716287,0.3684210526315789
Brazil,2020,7,21,0,416,142,0.05048076923076923,0.3333333333333333
Brazil,2024,3,20,0,401,146,0.04987531172069826,0.15
Spain,2016,7,17,0,353,143,0.04815864022662889,0.4117647058823529
Spain,2020,3,17,0,429,146,0.039627039627039624,0.17647058823529413
Spain,2024,5,18,0,526,150,0.034220532319391636,0.2777777777777778
Kenya,2016,6,13,0,80,29,0.1625,0.46153846153846156
Kenya,2020,4,10,0,89,26,0.11235955056179775,0.4
Kenya,2024,4,11,0,77,24,0.14285714285714285,0.36363636363636365
Jamaica,2016,6,11,0,77,32,0.14285714285714285,0.5454545454545454
Jamaica,2020,4,9,0,87,32,0.10344827586206896,0.4444444444444444
Jamaica,2024,1,6,0,81,31,0.07407407407407407,0.16666666666666666
Croatia,2016,5,10,0,93,47,0.10752688172043011,0.5
Croatia,2020,3,8,0,74,47,0.10810810810810811,0.375
Croatia,2024,2,7,0,85,43,0.08235294117647059,0.2857142857142857
Cuba,2016,5,11,0,143,99,0.07692307692307693,0.45454545454545453
Cuba,2020,7,15,0,82,64,0.18292682926829268,0.4666666666666667
Cuba,2024,2,9,0,69,52,0.13043478260869565,0.2222222222222222
New Zealand,2016,4,18,0,232,100,0.07758620689655173,0.2222222222222222
New Zealand,2020,7,20,0,279,90,0.07168458781362007,0.35
New Zealand,2024,10,20,0,253,100,0.07905138339920949,0.5
Canada,2016,4,22,0,397,173,0.055415617128463476,0.18181818181818182
Canada,2020,7,24,0,509,182,0.047151277013752456,0.2916666666666667
Canada,2024,9,27,0,538,172,0.05018587360594796,0.3333333333333333
Uzbekistan,2016,4,13,0,80,69,0.1625,0.3076923076923077
Uzbekistan,2020,3,5,0,85,69,0.058823529411764705,0.6
Uzbekistan,2024,8,13,0,119,68,0.1092436974789916,0.6153846153846154
Colombia,2016,3,8,0,157,85,0.050955414012738856,0.375
Colombia,2020,0,5,0,77,56,0.06493506493506493,0.0
Colombia,2024,0,4,0,105,61,0.0380952380952381,0.0
Switzerland,2016,3,7,0,148,79,0.0472972972972973,0.42857142857142855
Switzerland,2020,3,13,0,196,96,0.0663265306122449,0.23076923076923078
Switzerland,2024,1,8,0,218,94,0.03669724770642202,0.125
Iran,2016,3,8,0,67,46,0.11940298507462686,0.375
Iran,2020,3,7,0,76,44,0.09210526315789473,0.42857142857142855
Iran,2024,3,12,0,0,0,0.0,0.25
Greece,2016,3,6,0,104,65,0.057692307692307696,0.5
Greece,2020,2,4,0,100,58,0.04,0.5
Greece,2024,1,8,0,126,54,0.06349206349206349,0.125
Argentina,2016,3,4,0,228,79,0.017543859649122806,0.75
Argentina,2020,0,3,0,208,61,0.014423076923076924,0.0
Argentina,2024,1,3,0,154,41,0.01948051948051948,0.3333333333333333
Denmark,2016,2,15,0,143,67,0.1048951048951049,0.13333333333333333
Denmark,2020,3,11,0,138,63,0.07971014492753623,0.2727272727272727
Denmark,2024,2,9,0,161,60,0.055900621118012424,0.2222222222222222
Sweden,2016,2,11,0,186,79,0.05913978494623656,0.18181818181818182
Sweden,2020,3,9,0,173,77,0.05202312138728324,0.3333333333333333
Sweden,2024,4,11,0,173,81,0.06358381502890173,0.36363636363636365
South Africa,2016,2,10,0,155,70,0.06451612903225806,0.2
South Africa,2020,1,3,0,211,73,0.014218009478672985,0.3333333333333333
South Africa,2024,1,6,0,161,66,0.037267080745341616,0.16666666666666666
Kazakhstan,2016,2,17,0,123,98,0.13821138211382114,0.11764705882352941
Kazakhstan,2020,0,8,0,116,82,0.06896551724137931,0.0
Kazakhstan,2024,1,7,0,123,82,0.056910569105691054,0.14285714285714285
Ukraine,2016,2,11,0,268,141,0.041044776119402986,0.18181818181818182
Ukraine,2020,1,19,0,225,121,0.08444444444444445,0.05263157894736842
Ukraine,2024,3,12,0,212,101,0.05660377358490566,0.25
Serbia,2016,2,8,0,127,56,0.06299212598425197,0.25
Serbia,2020,3,9,0,110,47,0.08181818181818182,0.3333333333333333
Serbia,2024,3,5,0,135,47,0.037037037037037035,0.6
Poland,2016,2,11,0,285,143,0.03859649122807018,0.18181818181818182
Poland,2020,4,14,0,282,137,0.04964539007092199,0.2857142857142857
Poland,2024,1,10,0,312,134,0.03205128205128205,0.1
North Korea,2016,2,7,0,38,28,0.18421052631578946,0.2857142857142857
North Korea,2020,0,0,0,0,0,0.0,0.0
North Korea,2024,0,6,0,0,0,0.0,0.0
Belgium,2016,2,6,0,138,74,0.043478260869565216,0.3333333333333333
Belgium,2020,3,7,0,185,77,0.03783783783783784,0.42857142857142855
Belgium,2024,3,10,0,240,93,0.041666666666666664,0.3
Thailand,2016,2,6,0,58,45,0.10344827586206896,0.3333333333333333
Thailand,2020,1,2,0,48,33,0.041666666666666664,0.5
Thailand,2024,1,6,0,58,45,0.10344827586206896,0.16666666666666666
Slovakia,2016,2,4,0,63,49,0.06349206349206349,0.5
Slovakia,2020,1,4,0,56,42,0.07142857142857142,0.25
Slovakia,2024,0,1,0,38,31,0.02631578947368421,0.0
Georgia,2016,2,7,0,45,40,0.15555555555555556,0.2857142857142857
Georgia,2020,2,8,0,36,35,0.2222222222222222,0.25
Georgia,2024,3,7,0,38,30,0.18421052631578946,0.42857142857142855
Azerbaijan,2016,1,18,0,69,62,0.2608695652173913,0.05555555555555555
Azerbaijan,2020,0,7,0,55,51,0.12727272727272726,0.0
Azerbaijan,2024,2,7,0,49,41,0.14285714285714285,0.2857142857142857
Belarus,2016,1,9,0,142,86,0.06338028169014084,0.1111111111111111
Belarus,2020,1,7,0,137,89,0.051094890510948905,0.14285714285714285
Belarus,2024,0,0,0,0,0,0.0,0.0
Turkey,2016,1,8,0,119,88,0.06722689075630252,0.125
Turkey,2020,2,13,0,139,94,0.09352517985611511,0.15384615384615385
Turkey,2024,0,8,0,0,0,0.0,0.0
Armenia,2016,1,4,0,34,32,0.11764705882352941,0.25
Armenia,2020,0,4,0,19,19,0.21052631578947367,0.0
Armenia,2024,0,4,0,17,16,0.23529411764705882,0.0
Czech Republic,2016,1,10,0,131,91,0.07633587786259542,0.1
Czech Republic,2020,4,11,0,151,89,0.0728476821192053,0.36363636363636365
Czech Republic,2024,3,5,0,0,0,0.0,0.6
Ethiopia,2016,1,8,0,38,16,0.21052631578947367,0.125
Ethiopia,2020,1,4,0,38,15,0.10526315789473684,0.25
Ethiopia,2024,1,4,0,35,13,0.11428571428571428,0.25
Slovenia,2016,1,4,0,70,45,0.05714285714285714,0.25
Slovenia,2020,3,5,0,64,43,0.078125,0.6
Slovenia,2024,2,3,0,117,54,0.02564102564102564,0.6666666666666666
Indonesia,2016,1,3,0,27,19,0.1111111111111111,0.3333333333333333
Indonesia,2020,1,5,0,35,23,0.14285714285714285,0.2
Indonesia,2024,2,3,0,36,25,0.08333333333333333,0.6666666666666666
Romania,2016,1,4,0,117,61,0.03418803418803419,0.25
Romania,2020,1,4,0,119,57,0.03361344537815126,0.25
Romania,2024,3,9,0,144,57,0.0625,0.3333333333333333
Bahrain,2016,1,2,0,33,20,0.06060606060606061,0.5
Bahrain,2020,0,1,0,33,14,0.030303030303030304,0.0
Bahrain,2024,2,4,0,15,13,0.26666666666666666,0.5
Vietnam,2016,1,2,0,28,24,0.07142857142857142,0.5
Vietnam,2020,0,0,0,23,21,0.0,0.0
Vietnam,2024,0,0,0,20,19,0.0,0.0
Chinese Taipei,2016,1,3,0,67,46,0.04477611940298507,0.3333333333333333
Chinese Taipei,2020,2,12,0,117,61,0.10256410256410256,0.16666666666666666
Chinese Taipei,2024,2,7,0,78,47,0.08974358974358974,0.2857142857142857
Bahamas,2016,1,2,0,38,20,0.05263157894736842,0.5
Bahamas,2020,2,2,0,22,12,0.09090909090909091,1.0
Bahamas,2024,0,0,0,21,13,0.0,0.0
Independent Olympic Athletes,2016,1,2,0,0,0,0.0,0.5
Independent Olympic Athletes,2020,0,0,0,0,0,0.0,0.0
Independent Olympic Athletes,2024,0,0,0,0,0,0.0,0.0
Ivory Coast,2016,1,2,0,0,0,0.0,0.5
Ivory Coast,2020,0,1,0,32,11,0.03125,0.0
Ivory Coast,2024,0,1,0,0,0,0.0,0.0
Fiji,2016,1,1,0,53,14,0.018867924528301886,1.0
Fiji,2020,1,2,0,32,8,0.0625,0.5
Fiji,2024,0,1,0,36,11,0.027777777777777776,0.0
Jordan,2016,1,1,0,8,8,0.125,1.0
Jordan,2020,0,2,0,15,15,0.13333333333333333,0.0
Jordan,2024,0,1,0,13,13,0.07692307692307693,0.0
Kosovo,2016,1,1,0,8,8,0.125,1.0
Kosovo,2020,2,2,0,11,11,0.18181818181818182,1.0
Kosovo,2024,0,2,0,9,9,0.2222222222222222,0.0
Puerto Rico,2016,1,1,0,41,27,0.024390243902439025,1.0
Puerto Rico,2020,1,1,0,39,24,0.02564102564102564,1.0
Puerto Rico,2024,0,2,0,53,30,0.03773584905660377,0.0
Singapore,2016,1,1,0,32,24,0.03125,1.0
Singapore,2020,0,0,0,30,23,0.0,0.0
Singapore,2024,0,1,0,32,24,0.03125,0.0
Tajikistan,2016,1,1,0,7,7,0.14285714285714285,1.0
Tajikistan,2020,0,0,0,10,10,0.0,0.0
Tajikistan,2024,0,3,0,14,14,0.21428571428571427,0.0
Malaysia,2016,0,5,0,42,29,0.11904761904761904,0.0
Malaysia,2020,0,2,0,47,37,0.0425531914893617,0.0
Malaysia,2024,0,2,0,32,23,0.0625,0.0
Mexico,2016,0,5,0,139,80,0.03597122302158273,0.0
Mexico,2020,0,4,0,196,87,0.02040816326530612,0.0
Mexico,2024,0,5,0,155,83,0.03225806451612903,0.0
Venezuela,2016,0,3,0,105,77,0.02857142857142857,0.0
Venezuela,2020,1,4,0,47,35,0.0851063829787234,0.25
Venezuela,2024,0,0,0,37,32,0.0,0.0
Algeria,2016,0,2,0,74,48,0.02702702702702703,0.0
Algeria,2020,0,0,0,45,43,0.0,0.0
Algeria,2024,2,3,0,55,47,0.05454545454545454,0.6666666666666666
Ireland,2016,0,2,0,93,57,0.021505376344086023,0.0
Ireland,2020,2,4,0,150,76,0.02666666666666667,0.5
Ireland,2024,4,7,0,185,75,0.03783783783783784,0.5714285714285714
Lithuania,2016,0,4,0,80,49,0.05,0.0
Lithuania,2020,0,1,0,59,46,0.01694915254237288,0.0
Lithuania,2024,0,4,0,63,42,0.06349206349206349,0.0
Bulgaria,2016,0,3,0,58,51,0.05172413793103448,0.0
Bulgaria,2020,3,6,0,56,45,0.10714285714285714,0.5
Bulgaria,2024,3,7,0,61,53,0.11475409836065574,0.42857142857142855
India,2016,0,2,0,130,67,0.015384615384615385,0.0
India,2020,1,7,0,151,72,0.046357615894039736,0.14285714285714285
India,2024,0,6,0,138,63,0.043478260869565216,0.0
Mongolia,2016,0,2,0,46,41,0.043478260869565216,0.0
Mongolia,2020,0,4,0,61,43,0.06557377049180328,0.0
Mongolia,2024,0,1,0,48,37,0.020833333333333332,0.0
Burundi,2016,0,1,0,10,9,0.1,0.0
Burundi,2020,0,0,0,7,7,0.0,0.0
Burundi,2024,0,0,0,8,7,0.0,0.0
Grenada,2016,0,1,0,6,4,0.16666666666666666,0.0
Grenada,2020,0,1,0,6,6,0.16666666666666666,0.0
Grenada,2024,0,2,0,6,6,0.3333333333333333,0.0
Niger,2016,0,1,0,6,6,0.16666666666666666,0.0
Niger,2020,0,0,0,7,7,0.0,0.0
Niger,2024,0,0,0,7,7,0.0,0.0
Philippines,2016,0,1,0,13,13,0.07692307692307693,0.0
Philippines,2020,1,4,0,27,26,0.14814814814814814,0.25
Philippines,2024,2,4,0,44,31,0.09090909090909091,0.5
Qatar,2016,0,1,0,42,20,0.023809523809523808,0.0
Qatar,2020,2,3,0,17,15,0.17647058823529413,0.6666666666666666
Qatar,2024,0,1,0,13,10,0.07692307692307693,0.0
Norway,2016,0,4,0,77,53,0.05194805194805195,0.0
Norway,2020,4,8,0,112,60,0.07142857142857142,0.5
Norway,2024,4,8,0,128,58,0.0625,0.5
Egypt,2016,0,3,0,137,87,0.021897810218978103,0.0
Egypt,2020,1,6,0,195,94,0.03076923076923077,0.16666666666666666
Egypt,2024,1,3,0,207,89,0.014492753623188406,0.3333333333333333
Tunisia,2016,0,3,0,65,47,0.046153846153846156,0.0
Tunisia,2020,1,2,0,73,50,0.0273972602739726,0.5
Tunisia,2024,1,3,0,31,29,0.0967741935483871,0.3333333333333333
Israel,2016,0,2,0,59,45,0.03389830508474576,0.0
Israel,2020,2,4,0,128,68,0.03125,0.5
Israel,2024,1,7,0,138,68,0.050724637681159424,0.14285714285714285
Austria,2016,0,1,0,81,60,0.012345679012345678,0.0
Austria,2020,1,7,0,103,70,0.06796116504854369,0.14285714285714285
Austria,2024,2,5,0,121,76,0.04132231404958678,0.4
Dominican Republic,2016,0,1,0,30,22,0.03333333333333333,0.0
Dominican Republic,2020,0,5,0,69,31,0.07246376811594203,0.0
Dominican Republic,2024,1,3,0,64,27,0.046875,0.3333333333333333
Estonia,2016,0,1,0,49,31,0.02040816326530612,0.0
Estonia,2020,1,2,0,42,28,0.047619047619047616,0.5
Estonia,2024,0,0,0,26,21,0.0,0.0
Finland,2016,0,1,0,67,55,0.014925373134328358,0.0
Finland,2020,0,2,0,49,37,0.04081632653061224,0.0
Finland,2024,0,0,0,62,46,0.0,0.0
Morocco,2016,0,1,0,52,39,0.019230769230769232,0.0
Morocco,2020,1,1,0,51,37,0.0196078431372549,1.0
Morocco,2024,1,2,0,63,35,0.031746031746031744,0.5
Nigeria,2016,0,1,0,77,36,0.012987012987012988,0.0
Nigeria,2020,0,2,0,68,31,0.029411764705882353,0.0
Nigeria,2024,0,0,0,103,40,0.0,0.0
Portugal,2016,0,1,0,106,61,0.009433962264150943,0.0
Portugal,2020,1,4,0,113,65,0.035398230088495575,0.25
Portugal,2024,1,4,0,95,65,0.042105263157894736,0.25
Trinidad and Tobago,2016,0,1,0,43,24,0.023255813953488372,0.0
Trinidad and Tobago,2020,0,0,0,44,25,0.0,0.0
Trinidad and Tobago,2024,0,0,0,23,12,0.0,0.0
United Arab Emirates,2016,0,1,0,12,11,0.08333333333333333,0.0
United Arab Emirates,2020,0,0,0,5,5,0.0,0.0
United Arab Emirates,2024,0,0,0,0,0,0.0,0.0
ROC,2016,0,0,0,0,0,0.0,0.0
ROC,2020,20,71,0,0,0,0.0,0.28169014084507044
ROC,2024,0,0,0,0,0,0.0,0.0
Uganda,2016,0,0,0,23,14,0.0,0.0
Uganda,2020,2,4,0,28,18,0.14285714285714285,0.5
Uganda,2024,1,2,0,27,16,0.07407407407407407,0.5
Ecuador,2016,0,0,0,40,29,0.0,0.0
Ecuador,2020,2,3,0,52,35,0.057692307692307696,0.6666666666666666
Ecuador,2024,1,5,0,47,32,0.10638297872340426,0.2
Hong Kong,2016,0,0,0,47,32,0.0,0.0
Hong Kong,2020,1,6,0,0,0,0.0,0.16666666666666666
Hong Kong,2024,2,4,0,0,0,0.0,0.5
Latvia,2016,0,0,0,33,25,0.0,0.0
Latvia,2020,1,2,0,38,26,0.05263157894736842,0.5
Latvia,2024,0,0,0,32,23,0.0,0.0
Bermuda,2016,0,0,0,8,8,0.0,0.0
Bermuda,2020,1,1,0,2,2,0.5,1.0
Bermuda,2024,0,0,0,8,7,0.0,0.0
Kyrgyzstan,2016,0,0,0,19,17,0.0,0.0
Kyrgyzstan,2020,0,3,0,17,17,0.17647058823529413,0.0
Kyrgyzstan,2024,0,6,0,17,17,0.35294117647058826,0.0
San Marino,2016,0,0,0,4,3,0.0,0.0
San Marino,2020,0,3,0,8,7,0.375,0.0
San Marino,2024,0,0,0,5,5,0.0,0.0
Namibia,2016,0,0,0,11,9,0.0,0.0
Namibia,2020,0,1,0,11,10,0.09090909090909091,0.0
Namibia,2024,0,0,0,4,4,0.0,0.0
North Macedonia,2016,0,0,0,0,0,0.0,0.0
North Macedonia,2020,0,1,0,8,8,0.125,0.0
North Macedonia,2024,0,0,0,6,6,0.0,0.0
Saudi Arabia,2016,0,0,0,11,10,0.0,0.0
Saudi Arabia,2020,0,1,0,33,12,0.030303030303030304,0.0
Saudi Arabia,2024,0,0,0,11,7,0.0,0.0
Turkmenistan,2016,0,0,0,9,9,0.0,0.0
Turkmenistan,2020,0,1,0,10,10,0.1,0.0
Turkmenistan,2024,0,0,0,6,6,0.0,0.0
Botswana,2016,0,0,0,14,7,0.0,0.0
Botswana,2020,0,1,0,16,9,0.0625,0.0
Botswana,2024,1,2,0,19,9,0.10526315789473684,0.5
Burkina Faso,2016,0,0,0,5,5,0.0,0.0
Burkina Faso,2020,0,1,0,8,8,0.125,0.0
Burkina Faso,2024,0,0,0,8,8,0.0,0.0
Ghana,2016,0,0,0,15,12,0.0,0.0
Ghana,2020,0,1,0,16,11,0.0625,0.0
Ghana,2024,0,0,0,11,5,0.0,0.0
Kuwait,2016,0,0,0,0,0,0.0,0.0
Kuwait,2020,0,1,0,10,8,0.1,0.0
Kuwait,2024,0,0,0,9,9,0.0,0.0
Moldova,2016,0,0,0,23,22,0.0,0.0
Moldova,2020,0,1,0,26,23,0.038461538461538464,0.0
Moldova,2024,0,4,0,0,0,0.0,0.0
Syria,2016,0,0,0,7,7,0.0,0.0
Syria,2020,0,1,0,6,6,0.16666666666666666,0.0
Syria,2024,0,0,0,10,10,0.0,0.0
Chile,2016,0,0,0,47,36,0.0,0.0
Chile,2020,0,0,0,63,34,0.0,0.0
Chile,2024,1,2,0,52,34,0.038461538461538464,0.5
Saint Lucia,2016,0,0,0,5,4,0.0,0.0
Saint Lucia,2020,0,0,0,5,5,0.0,0.0
Saint Lucia,2024,1,2,0,5,5,0.4,0.5
Guatemala,2016,0,0,0,25,19,0.0,0.0
Guatemala,2020,0,0,0,24,17,0.0,0.0
Guatemala,2024,1,2,0,16,14,0.125,0.5
Dominica,2016,0,0,0,2,2,0.0,0.0
Dominica,2020,0,0,0,2,2,0.0,0.0
Dominica,2024,1,1,0,4,4,0.25,1.0
Pakistan,2016,0,0,0,7,7,0.0,0.0
Pakistan,2020,0,0,0,10,9,0.0,0.0
Pakistan,2024,1,1,0,10,9,0.1,1.0
Cyprus,2016,0,0,0,21,19,0.0,0.0
Cyprus,2020,0,0,0,23,22,0.0,0.0
Cyprus,2024,0,1,0,23,23,0.043478260869565216,0.0
Panama,2016,0,0,0,14,14,0.0,0.0
Panama,2020,0,0,0,11,11,0.0,0.0
Panama,2024,0,1,0,13,13,0.07692307692307693,0.0
Albania,2016,0,0,0,6,6,0.0,0.0
Albania,2020,0,0,0,10,10,0.0,0.0
Albania,2024,0,2,0,9,9,0.2222222222222222,0.0
Cabo Verde,2016,0,0,0,0,0,0.0,0.0
Cabo Verde,2020,0,0,0,0,0,0.0,0.0
Cabo Verde,2024,0,1,0,7,7,0.14285714285714285,0.0
Peru,2016,0,0,0,34,28,0.0,0.0
Peru,2020,0,0,0,42,35,0.0,0.0
Peru,2024,0,1,0,32,21,0.03125,0.0
Refugee Olympic Team,2016,0,0,0,0,0,0.0,0.0
Refugee Olympic Team,2020,0,0,0,35,30,0.0,0.0
Refugee Olympic Team,2024,0,1,0,0,0,0.0,0.0
Zambia,2016,0,0,0,7,7,0.0,0.0
Zambia,2020,0,0,0,31,10,0.0,0.0
Zambia,2024,0,1,0,32,8,0.03125,0.0
